timestamp,event_id,shipment_id,decision,outcome_score
2025-12-26T10:25:29.421758,news_1766724928932,SHP_1616,INFO,0.0
2025-12-26T10:25:34.977441,news_1766724934522,SHP_1616,CRITICAL: REROUTE,0.0
2025-12-26T10:25:42.531083,news_1766724942008,SHP_1616,CRITICAL: REROUTE,0.0
2025-12-26T10:25:50.982236,news_1766724949483,SHP_3819,INFO,0.0
2025-12-26T10:25:50.982236,news_1766724949483,SHP_8186,INFO,0.0
2025-12-26T10:25:50.982236,news_1766724949483,SHP_5881,INFO,0.0
2025-12-26T10:26:23.124364,news_1766724982679,SHP_1616,INFO,0.0
2025-12-26T10:27:00.772293,news_1766725019237,SHP_3819,CRITICAL: REROUTE,0.0
2025-12-26T10:27:00.772293,news_1766725019237,SHP_8186,CRITICAL: REROUTE,0.0
2025-12-26T10:27:00.772293,news_1766725019237,SHP_5881,CRITICAL: REROUTE,0.0
2025-12-26T10:27:15.399752,news_1766725034868,SHP_1616,WARNING: ALERT,0.0
2025-12-26T10:27:42.498693,news_1766725062025,SHP_1616,WARNING: ALERT,0.0
2025-12-26T10:28:34.006575,news_1766725110967,SHP_4217,INFO,0.0
2025-12-26T10:28:34.006575,news_1766725110967,SHP_3956,INFO,0.0
2025-12-26T10:28:43.775139,news_1766725121048,SHP_7086,INFO,0.0
2025-12-26T10:28:43.775139,news_1766725121048,SHP_3716,INFO,0.0
2025-12-26T10:28:52.030844,news_1766725129519,SHP_4566,CRITICAL: REROUTE,0.0
2025-12-26T10:29:02.297644,news_1766725138904,SHP_7086,WARNING: ALERT,0.0
2025-12-26T10:29:02.297644,news_1766725138904,SHP_3716,WARNING: ALERT,0.0
2025-12-26T10:29:20.709004,news_1766725157755,SHP_4217,INFO,0.0
2025-12-26T10:29:20.709004,news_1766725157755,SHP_3956,INFO,0.0
2025-12-26T10:29:30.364751,news_1766725168457,SHP_4566,INFO,0.0
2025-12-26T10:29:38.979357,news_1766725176976,SHP_4566,INFO,0.0
2025-12-26T10:30:00.482429,news_1766725196967,SHP_7086,WARNING: ALERT,0.0
2025-12-26T10:30:00.482429,news_1766725196967,SHP_3716,WARNING: ALERT,0.0
2025-12-26T10:30:11.493494,news_1766725207634,SHP_4217,WARNING: ALERT,0.0
2025-12-26T10:30:11.493494,news_1766725207634,SHP_3956,WARNING: ALERT,0.0
2025-12-26T10:30:20.635756,news_1766725217858,SHP_4217,INFO,0.0
2025-12-26T10:30:20.635756,news_1766725217858,SHP_3956,INFO,0.0
2025-12-26T10:30:38.757270,news_1766725235667,SHP_4217,INFO,0.0
2025-12-26T10:30:38.757270,news_1766725235667,SHP_3956,INFO,0.0
2025-12-26T10:30:47.887245,news_1766725245820,SHP_4566,INFO,0.0
2025-12-26T10:31:09.102123,news_1766725267195,SHP_4566,INFO,0.0
2025-12-26T10:31:24.893111,news_1766725281626,SHP_7086,WARNING: ALERT,0.0
2025-12-26T10:31:24.893111,news_1766725281626,SHP_3716,WARNING: ALERT,0.0
2025-12-26T10:31:35.612262,news_1766725292645,SHP_4217,INFO,0.0
2025-12-26T10:31:35.612262,news_1766725292645,SHP_3956,INFO,0.0
2025-12-26T10:31:45.624689,news_1766725303469,SHP_4566,INFO,0.0
2025-12-26T10:31:56.351702,news_1766725313446,SHP_4217,INFO,0.0
2025-12-26T10:31:56.351702,news_1766725313446,SHP_3956,INFO,0.0
2025-12-26T10:32:35.404124,news_1766725351914,SHP_4217,INFO,0.0
2025-12-26T10:32:35.404124,news_1766725351914,SHP_3956,INFO,0.0
2025-12-26T10:32:46.649590,news_1766725362881,SHP_4217,CRITICAL: REROUTE,0.0
